Date,Close,High,Low,Open,Volume
2023-01-23,384.0628967285156,385.99935386476415,379.3559346776604,380.3145820381866,84178800
2023-01-24,383.6506652832031,384.561362674629,381.1965305092897,382.3852438122681,59524900
2023-01-25,383.79443359375,384.1299659834221,377.2852105542449,379.5763915316237,84800300
2023-01-26,388.012451171875,388.175434067063,383.4876352529639,386.4594474008895,72287400
2023-01-27,388.9040222167969,391.2814780074148,386.7566616675893,386.967565239786,68346200
2023-01-30,384.0245361328125,388.3768032673917,383.7273577965346,386.1431385720956,74202000
2023-01-31,389.6709289550781,389.71884961340345,384.19703231489694,384.5421605238492,86811800
2023-02-01,393.8123474121094,396.5636900750736,385.71179428748286,388.4535118588833,101459200
2023-02-02,399.5450134277344,401.01174260046105,395.8062948752539,397.704397771963,101654500
2023-02-03,395.2982177734375,399.7271635935274,394.0903128204698,394.56963646776256,94736800
2023-02-06,392.8824157714844,394.2820619137646,391.2239746420671,392.8440909429574,60295300
2023-02-07,398.020751953125,399.2669816692664,390.7158646278332,391.9620943439746,90990700
2023-02-08,393.6684875488281,397.388043561494,392.97826035827575,396.0459432619734,76227500
2023-02-09,390.2557067871094,397.42639877292254,389.02863947326034,397.2730117017424,78694900
2023-02-10,391.16644287109375,391.54989593055205,388.2617427936973,389.0765695741987,70769700
2023-02-13,395.7583618164063,395.8925864844252,391.3581741107854,391.8183353582287,64913500
2023-02-14,395.57623291015625,397.8865471406861,391.6170149103328,394.2341032958751,88389300
2023-02-15,396.8608093261719,396.9374882356896,392.5373007553342,393.38091503799455,61555700
2023-02-16,391.39654541015625,395.835087395517,391.2623499918296,391.8854649285943,76431500
2023-02-17,390.4187316894531,390.6583935285287,387.341452611694,389.26834315965215,89257800
2023-02-21,382.5865173339844,387.4468657837821,382.3276931153695,386.3923479856616,82655900
2023-02-22,382.0593566894531,384.54225003382606,380.6021938656125,382.998812451563,83742300
2023-02-23,384.0916137695313,385.567938737912,379.86397585252666,384.95439045031753,96242400
2023-02-24,379.9886169433594,380.8226354035622,377.36193273433554,379.0683237378521,108194400
2023-02-27,381.2828063964844,384.6955884908984,380.3433214975704,383.33429643374495,80444700
2023-02-28,379.8735961914063,382.7687005643169,379.7681297733509,380.80348526155615,96438600
2023-03-01,378.4163818359375,380.2857555557943,377.1126357022291,379.058688324708,99706800
2023-03-02,381.35943603515625,382.20305024263513,376.1060389057773,376.4415712731506,85127800
2023-03-03,387.47564697265625,387.7249046275864,382.5290234904316,383.1808966203792,90120000
2023-03-06,387.74407958984375,390.60085911261217,387.3031100177366,388.3000821585358,72795900
2023-03-07,381.8004455566406,387.9358116155142,381.1869265041094,387.6961497930768,108310600
2023-03-08,382.4235229492188,383.1808331119088,380.1898587708449,381.9154411445584,74746600
2023-03-09,375.3679504394531,384.87774493306273,374.38054484861016,383.2096786661938,111945300
2023-03-10,369.9515686035156,376.901761257044,368.4273229667233,374.8214838248375,189253000
